ride_id,rideable_type,weekdays,duration,start_station_name,end_station_name,member_casual
3E9F0F35EE4D72AC,classic_bike,Thursday,4.147800000508626,Prospect Pl & 6 Ave,1 St & 6 Ave,member
236CC3539CA3A7A5,electric_bike,Saturday,7.500749997297922,11 Ave & W 41 St,Broadway & W 38 St,member
D3B6AEFB176EEC04,electric_bike,Tuesday,26.774616666634877,Intervale Ave & Kelly St,Intervale Ave & Kelly St,casual
423CC29B68A9EA10,electric_bike,Wednesday,9.99350000222524,Broadway & W 138 St,Grand Concourse & E 144 St,member
353993BDC8C0F8B8,electric_bike,Saturday,5.404166666666667,S 4 St & Rodney St,Broadway & Whipple St,member
1E84B4D71027E0CE,classic_bike,Saturday,4.50778333346049,Pleasant Ave & E 120 St,Lexington Ave & E 120 St,member
000293804B08187E,electric_bike,Thursday,7.840299999713897,Prospect Pl & Underhill Ave,Prospect Park West & 8 St,member
DB657C47ECB0D070,electric_bike,Wednesday,16.930683334668476,E 72 St & York Ave,W 87 St & West End Ave,member
F84319E74608D508,electric_bike,Monday,17.70178333123525,University Pl & E 14 St,N 7 St & Driggs Ave,member
1FFEA125AFC3ADF8,electric_bike,Sunday,29.947616668542228,43 St & 50 Ave,Plaza St East & Flatbush Ave,member
771AA54F6CF9A65E,classic_bike,Wednesday,7.98560000260671,E 12 St & 3 Ave,9 Ave & W 18 St,member
2A431F48588FF9F6,electric_bike,Sunday,13.363599999745686,Frederick Douglass Blvd & W 117 St,Broadway & W 61 St,member
2F99646AB2D497C9,electric_bike,Thursday,2.8590166687965395,Broadway & Roebling St,Broadway & Kent Ave,member
31279C9B515FDD5C,electric_bike,Wednesday,6.701466663678487,Cooper Square & Astor Pl,Ave D & E 3 St,member
4926CC05A6AA7D71,electric_bike,Monday,13.809750000635782,Fulton St & Waverly Ave,10 St & 5 Ave,member
ECFB23CB08A06F35,electric_bike,Tuesday,8.498583332697551,E 13 St & 2 Ave,E 32 St & Park Ave,member
FDB6BF18E8C9A827,electric_bike,Tuesday,2.3536333322525023,Kingston Ave & E New York Ave,Rutland Rd & Brooklyn Ave,member
3E616B17118F8450,electric_bike,Thursday,18.300316667556764,W 82 St & Central Park West,3 Ave & E 81 St,casual
968272AF8919019E,classic_bike,Thursday,11.168416666984559,5 Ave & W 131 St,E 106 St & Lexington Ave,member
EED9EB965D668BD3,classic_bike,Monday,2.586483331521352,Steinway St & 21 Ave,35 St & 21 Ave,member
2F8EA1CB4BE5D073,electric_bike,Tuesday,10.858666666348775,W 31 St & 7 Ave,FDR Drive & E 35 St,member
5AE10267A099AB90,classic_bike,Tuesday,14.885216669241588,W 20 St & 10 Ave,E 32 St & Park Ave,member
2ED7CC6F3A16D8BE,electric_bike,Wednesday,10.462833333015443,W 22 St & 10 Ave,Lafayette St & E 8 St,casual
0AB2613CC27CC7E7,classic_bike,Thursday,21.665233333905537,E 11 St & Broadway,8 Ave & W 38 St,member
D2D86AAC3E1282A2,electric_bike,Monday,10.34228333234787,Bergen St & Troy Ave,Washington Ave & Park Pl,casual
